county_name,race_description,cand_name,precinct_code,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20120,1,2,37,40
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20140,7,25,212,244
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20140,1,9,58,68
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20220,8,45,226,279
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20220,1,8,65,74
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20230,8,15,165,188
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20230,0,1,42,43
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20310,7,8,195,210
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20310,3,4,67,74
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20320,4,2,103,109
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20320,1,0,25,26
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,20330,1,5,120,126
ALFALFA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,20330,0,4,21,25
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30001,4,81,241,326
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30001,2,17,68,87
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30002,11,55,196,262
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30002,4,15,42,61
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30003,5,51,137,193
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30003,2,8,44,54
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30006,9,45,120,174
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30006,1,16,32,49
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30007,6,40,246,292
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30007,3,4,68,75
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30008,14,56,394,464
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30008,3,11,124,138
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30009,13,60,197,270
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30009,2,14,48,64
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30010,3,4,70,77
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30010,0,1,26,27
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30011,7,130,313,450
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,30011,1,35,128,164
ATOKA,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,30012,1,22,169,192
